filename, Apple, Banana, Grapes, Kiwi, Mango, Orange, Pineapple, Sugerapple, Watermelon
Image_83_jpg.rf.a8f265b8df3540d51f58d248f193f774.jpg, 0, 0, 0, 1, 0, 0, 0, 0, 0
images-2023-02-07T155811-656_jpeg.rf.a9b9be4c212665d9edc4ada25531a72c.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 1
Image_51_jpg.rf.a93e4010657a33cac9925c7c737aac21.jpg, 0, 0, 0, 1, 0, 0, 0, 0, 0
images-2023-02-07T160736-941_jpeg.rf.a896b4e19d132bbdab9b7a5bf79d8f02.jpg, 1, 0, 0, 0, 0, 0, 0, 0, 0
images-2023-02-07T161801-786_jpeg.rf.a9b221e695c1c7579b6b47ae53c94a42.jpg, 0, 0, 0, 0, 0, 0, 0, 1, 0
images-2023-02-07T153914-442_jpeg.rf.a8adaa12d20afb788964f6a215509dd4.jpg, 0, 0, 1, 0, 0, 0, 0, 0, 0
Image_67_jpg.rf.a9400f16c7605e1d23a0d4d3846963e1.jpg, 1, 0, 0, 0, 0, 0, 0, 0, 0
images-2023-02-07T161053-289_jpeg.rf.aa20c244a7f61418e2d5d818ccfbae91.jpg, 0, 0, 0, 0, 0, 0, 0, 1, 0
images-2023-02-07T154524-183_jpeg.rf.a907ef61817fad2a5f7409c5423d778b.jpg, 0, 0, 1, 0, 0, 0, 0, 0, 0
Image_46_jpg.rf.a8858dbc7f1b277907a863d391f8fa86.jpg, 0, 0, 0, 0, 0, 1, 0, 0, 0
download-39-_jpeg.rf.a9cde5bffd70f19f7680fe4e307bd791.jpg, 0, 1, 0, 0, 0, 0, 0, 0, 0
images-2023-02-07T160722-959_jpeg.rf.aa8024906cd788dd72d490c3a8a95ab6.jpg, 1, 0, 0, 0, 0, 0, 0, 0, 0
images-2023-02-07T155923-724_jpeg.rf.a917b7ccfbf21694f73268531ca9c6dd.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 1
images-2023-02-07T154502-483_jpeg.rf.a935c64ac50f84e0711c32af5d8619fc.jpg, 0, 0, 1, 0, 0, 0, 0, 0, 0
Image_45_png.rf.a88a317763397fade7577272cc826c3e.jpg, 0, 0, 1, 0, 0, 0, 0, 0, 0
Image_73_jpg.rf.a9afedc887c3747c831768f02aecc1af.jpg, 0, 0, 0, 1, 0, 0, 0, 0, 0
Image_39_png.rf.a9504b5c3e6321b46f70853bce736179.jpg, 0, 0, 1, 0, 0, 0, 0, 0, 0
Image_94_jpg.rf.aa9d11fb5850355baf8ff1cab92d32d9.jpg, 0, 0, 1, 0, 0, 0, 0, 0, 0
download-78-_jpeg.rf.a95e2380a62d93671467d9fb7b947c30.jpg, 0, 0, 1, 0, 0, 0, 0, 0, 0
Image_48_jpg.rf.aadd3c39fa5b1e1efff13167c1fe1a50.jpg, 0, 0, 0, 0, 1, 0, 0, 0, 0
images-64-_jpeg.rf.ab3628d61674ea9f9871045b16d3bac9.jpg, 0, 0, 0, 1, 0, 0, 0, 0, 0
images-2023-02-07T155852-948_jpeg.rf.aa00c411e196627c8437dec3102d3202.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 1
Image_87_png.rf.aa26647df94b674dad2234d60c31460d.jpg, 0, 0, 1, 0, 0, 0, 0, 0, 0
images-2023-02-07T161229-136_jpeg.rf.aac9347f3e1449e69775399282960f14.jpg, 0, 0, 0, 0, 0, 0, 0, 1, 0
red-apple-21860254-1-_jpg.rf.a8fb47195a920e5cdce6c0d4b1b86ae2.jpg, 1, 0, 0, 0, 0, 0, 0, 0, 0
Image_53_png.rf.aabbc6bdc52654eb1f825acc5132e0b2.jpg, 1, 0, 0, 0, 0, 0, 0, 0, 0
Image_59_jpg.rf.a8cba74202a4a4d45262e5cb1f5415e6.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 1
Image_41_png.rf.aa0b4f9cf90934f5d8621790079e8bf5.jpg, 0, 0, 0, 0, 0, 0, 1, 0, 0
Image_18_jpg.rf.aa212488f49d7694832823230b0b6a10.jpg, 0, 0, 1, 0, 0, 0, 0, 0, 0
Image_24_jpg.rf.ab4a9891e77e004dd1acd448612c88af.jpg, 0, 0, 0, 1, 0, 0, 0, 0, 0
download-2023-02-07T160924-573_jpeg.rf.ab595fac873812687d9e885aea911e90.jpg, 0, 0, 0, 0, 0, 0, 0, 1, 0
Image_82_jpg.rf.ab456f8d2ab0a1ba14b6d6711b6d6265.jpg, 1, 0, 0, 0, 0, 0, 0, 0, 0
images-17-_jpeg.rf.ab5ebdbb2c9fc2f79b4bf2b56e2ba05e.jpg, 1, 0, 0, 0, 0, 0, 0, 0, 0
download-2023-02-07T154645-139_jpeg.rf.ab95bb51d56652034a88d479a5c44877.jpg, 0, 0, 0, 0, 0, 1, 0, 0, 0
download-60-_jpeg.rf.abde22e26c0805337f958c03c37bb9fc.jpg, 0, 0, 0, 0, 1, 0, 0, 0, 0
